label,filename,split
1,0.csv,train
0,1.csv,train
1,2.csv,train
1,3.csv,train
1,4.csv,train
0,5.csv,train
1,6.csv,train
0,7.csv,train
1,8.csv,train
1,9.csv,train
0,10.csv,train
1,11.csv,train
1,12.csv,train
1,13.csv,train
1,14.csv,train
0,15.csv,train
0,16.csv,train
0,17.csv,train
1,18.csv,train
0,19.csv,train
1,20.csv,train
1,21.csv,train
1,22.csv,train
0,23.csv,train
0,24.csv,train
1,25.csv,train
0,26.csv,train
0,27.csv,train
0,28.csv,train
0,29.csv,train
1,30.csv,train
1,31.csv,train
0,32.csv,train
0,33.csv,train
1,34.csv,train
0,35.csv,train
0,36.csv,train
1,37.csv,train
0,38.csv,train
0,39.csv,train
1,40.csv,train
0,41.csv,train
0,42.csv,train
1,43.csv,train
0,44.csv,train
1,45.csv,train
0,46.csv,train
1,47.csv,train
1,48.csv,train
1,49.csv,train
1,50.csv,train
1,51.csv,train
0,52.csv,train
0,53.csv,train
1,54.csv,train
1,55.csv,train
1,56.csv,train
0,57.csv,train
1,58.csv,train
1,59.csv,train
0,60.csv,train
1,61.csv,train
1,62.csv,train
1,63.csv,train
1,64.csv,train
0,65.csv,train
1,66.csv,train
1,67.csv,train
1,68.csv,train
1,69.csv,train
0,70.csv,train
0,71.csv,train
1,72.csv,train
0,73.csv,train
0,74.csv,train
0,75.csv,train
0,76.csv,train
0,77.csv,train
1,78.csv,train
0,79.csv,train
1,80.csv,train
0,81.csv,train
0,82.csv,train
1,83.csv,train
0,84.csv,train
1,85.csv,train
0,86.csv,train
1,87.csv,train
0,88.csv,train
0,89.csv,train
0,90.csv,train
1,91.csv,train
0,92.csv,train
0,93.csv,train
0,94.csv,train
1,95.csv,train
0,96.csv,train
1,97.csv,train
0,98.csv,train
0,99.csv,train
